item_id,scenario,text,true_source
1,朋友考研失败后很沮丧,别难过了，我也没考上。一起努力吧,human
2,朋友第一次考编落榜后特别自责,看到了，啥都不说了。你先好好休息消化下，不管之后咋打算我都挺你。随时找我，24小时开机。,ai
3,同学论文初稿被导师批评后怀疑自己,想开点，他上次讲我还要凶，你要不要听看他上次怎么说我？,human
4,同学汇报结束后被老师当众指出问题,别往心里去啊，其实你前面讲文献和实验设计那段逻辑挺清晰的，是他今天太挑刺了。,ai
5,朋友失恋后整晚睡不着,你真是个情圣啊,human
6,朋友分手后一刷聊天记录就难受,听句劝，先把聊天框删了或者隐藏了吧。你现在看一次就是拿刀扎自己一次，何必呢。,ai
7,同学面试失败后觉得自己很差劲,你最好是真的表现很差劲，又想演我。,human
8,同学实习申请被拒后开始否定自己,这破公司没眼光，错过你是他们的损失。现在这大环境本来就是地狱难度，根本不是你的问题，别拿HR的KPI来PUA自己。,ai
9,朋友比赛失利后不想见人,疯狂星期四走不走？,human
10,朋友演讲失误后一直责怪自己,别反复锤自己啦！跟你说实话，底下的人根本没仔细听，一大半都在摸鱼或者神游。那个失误现在只有你一个人在拿放大镜看，大家早忘了。,ai
11,室友和家里吵架后心情很差,喝点丝瓜汤消消气吧,human
12,同学被朋友误解后非常委屈,遇到这种连解释都不听的，真的挺下头的。既然ta非要这么想，随ta去吧，咱问心无愧就行了。别为了这种人不开心了！,ai
13,同学熬夜跑出的实验数据作废后崩溃大哭,卧槽这也太搞心态了！这破玩意儿就是专门来折磨人的。你先别盯着屏幕了，越看越崩溃，赶紧把电脑合上！,ai
14,朋友看到同龄人都步入正轨后陷入严重的同辈焦虑,听句劝，这几天先把朋友圈关了。看这些除了让你疯狂内耗一点用都没有。你在哪？晚上出来喝一杯，别一个人在屋里瞎比较了，容易钻牛角尖。,ai
15,同学辛苦写出的论文被期刊直接拒稿后备受打击,没事的，论文只要写出来就一定能投出去,human
